{'Time': '2022-11-15T11:43:01.727660', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '4162893', 'Eth0-1_In_uPackets': '15376', 'Eth0-1_Out_Octet': '1754041', 'Eth0-1_Out_uPackets': '15593'}
{'Time': '2022-11-15T11:44:01.631143', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '4261002', 'Eth0-1_In_uPackets': '15441', 'Eth0-1_Out_Octet': '1760696', 'Eth0-1_Out_uPackets': '15664'}
{'Time': '2022-11-15T11:45:01.533389', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '4308648', 'Eth0-1_In_uPackets': '15511', 'Eth0-1_Out_Octet': '1767413', 'Eth0-1_Out_uPackets': '15736'}
{'Time': '2022-11-15T11:46:01.459632', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '4354203', 'Eth0-1_In_uPackets': '15577', 'Eth0-1_Out_Octet': '1774130', 'Eth0-1_Out_uPackets': '15809'}
{'Time': '2022-11-15T11:47:01.367014', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '4386094', 'Eth0-1_In_uPackets': '15642', 'Eth0-1_Out_Octet': '1780885', 'Eth0-1_Out_uPackets': '15880'}
{'Time': '2022-11-15T11:48:01.267705', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '4417724', 'Eth0-1_In_uPackets': '15711', 'Eth0-1_Out_Octet': '1787719', 'Eth0-1_Out_uPackets': '15954'}
{'Time': '2022-11-15T11:49:02.157643', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '4485767', 'Eth0-1_In_uPackets': '15782', 'Eth0-1_Out_Octet': '1794532', 'Eth0-1_Out_uPackets': '16027'}
{'Time': '2022-11-15T11:50:02.077931', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '4553219', 'Eth0-1_In_uPackets': '15847', 'Eth0-1_Out_Octet': '1801189', 'Eth0-1_Out_uPackets': '16098'}
{'Time': '2022-11-15T11:51:02.068786', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '4601153', 'Eth0-1_In_uPackets': '15917', 'Eth0-1_Out_Octet': '1807903', 'Eth0-1_Out_uPackets': '16170'}
{'Time': '2022-11-15T11:52:02.014709', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '4651075', 'Eth0-1_In_uPackets': '15989', 'Eth0-1_Out_Octet': '1814738', 'Eth0-1_Out_uPackets': '16244'}
{'Time': '2022-11-15T11:53:01.930953', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '4687381', 'Eth0-1_In_uPackets': '16059', 'Eth0-1_Out_Octet': '1821455', 'Eth0-1_Out_uPackets': '16317'}
{'Time': '2022-11-15T11:54:01.834847', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '4757231', 'Eth0-1_In_uPackets': '16124', 'Eth0-1_Out_Octet': '1828207', 'Eth0-1_Out_uPackets': '16388'}
{'Time': '2022-11-15T11:55:01.752773', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '4796462', 'Eth0-1_In_uPackets': '16195', 'Eth0-1_Out_Octet': '1834919', 'Eth0-1_Out_uPackets': '16460'}
{'Time': '2022-11-15T11:56:01.676476', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '4866407', 'Eth0-1_In_uPackets': '16260', 'Eth0-1_Out_Octet': '1841571', 'Eth0-1_Out_uPackets': '16531'}
{'Time': '2022-11-15T11:57:01.570864', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '4909247', 'Eth0-1_In_uPackets': '16325', 'Eth0-1_Out_Octet': '1848226', 'Eth0-1_Out_uPackets': '16602'}
{'Time': '2022-11-15T11:58:01.491131', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '4956117', 'Eth0-1_In_uPackets': '16391', 'Eth0-1_Out_Octet': '1854940', 'Eth0-1_Out_uPackets': '16674'}
{'Time': '2022-11-15T11:59:01.380395', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5026886', 'Eth0-1_In_uPackets': '16460', 'Eth0-1_Out_Octet': '1861592', 'Eth0-1_Out_uPackets': '16745'}
{'Time': '2022-11-15T12:00:01.316957', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5058501', 'Eth0-1_In_uPackets': '16512', 'Eth0-1_Out_Octet': '1866973', 'Eth0-1_Out_uPackets': '16803'}
{'Time': '2022-11-15T12:01:02.223012', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5086555', 'Eth0-1_In_uPackets': '16521', 'Eth0-1_Out_Octet': '1867788', 'Eth0-1_Out_uPackets': '16814'}
{'Time': '2022-11-15T12:02:02.163811', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5148761', 'Eth0-1_In_uPackets': '16531', 'Eth0-1_Out_Octet': '1868663', 'Eth0-1_Out_uPackets': '16826'}
{'Time': '2022-11-15T12:03:02.093591', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5189353', 'Eth0-1_In_uPackets': '16541', 'Eth0-1_Out_Octet': '1869535', 'Eth0-1_Out_uPackets': '16838'}
{'Time': '2022-11-15T12:04:02.003960', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5261340', 'Eth0-1_In_uPackets': '16547', 'Eth0-1_Out_Octet': '1870405', 'Eth0-1_Out_uPackets': '16850'}
{'Time': '2022-11-15T12:05:02.113302', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5290231', 'Eth0-1_In_uPackets': '16557', 'Eth0-1_Out_Octet': '1871278', 'Eth0-1_Out_uPackets': '16862'}
{'Time': '2022-11-15T12:06:02.129716', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5318775', 'Eth0-1_In_uPackets': '16563', 'Eth0-1_Out_Octet': '1872150', 'Eth0-1_Out_uPackets': '16874'}
{'Time': '2022-11-15T12:07:02.067602', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5345333', 'Eth0-1_In_uPackets': '16569', 'Eth0-1_Out_Octet': '1873023', 'Eth0-1_Out_uPackets': '16886'}
{'Time': '2022-11-15T12:08:02.033418', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5403343', 'Eth0-1_In_uPackets': '16577', 'Eth0-1_Out_Octet': '1874018', 'Eth0-1_Out_uPackets': '16900'}
{'Time': '2022-11-15T12:09:01.979804', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5476755', 'Eth0-1_In_uPackets': '16587', 'Eth0-1_Out_Octet': '1874890', 'Eth0-1_Out_uPackets': '16912'}
{'Time': '2022-11-15T12:10:01.874753', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5516940', 'Eth0-1_In_uPackets': '16593', 'Eth0-1_Out_Octet': '1875760', 'Eth0-1_Out_uPackets': '16924'}
{'Time': '2022-11-15T12:11:01.811387', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5543997', 'Eth0-1_In_uPackets': '16603', 'Eth0-1_Out_Octet': '1876630', 'Eth0-1_Out_uPackets': '16936'}
{'Time': '2022-11-15T12:12:01.733975', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5571757', 'Eth0-1_In_uPackets': '16615', 'Eth0-1_Out_Octet': '1877623', 'Eth0-1_Out_uPackets': '16950'}
{'Time': '2022-11-15T12:13:01.635675', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5597730', 'Eth0-1_In_uPackets': '16625', 'Eth0-1_Out_Octet': '1878498', 'Eth0-1_Out_uPackets': '16962'}
{'Time': '2022-11-15T12:14:01.512537', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5691911', 'Eth0-1_In_uPackets': '16631', 'Eth0-1_Out_Octet': '1879373', 'Eth0-1_Out_uPackets': '16974'}
{'Time': '2022-11-15T12:15:01.512144', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5733592', 'Eth0-1_In_uPackets': '16641', 'Eth0-1_Out_Octet': '1880245', 'Eth0-1_Out_uPackets': '16986'}
{'Time': '2022-11-15T12:16:01.465889', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5772451', 'Eth0-1_In_uPackets': '16647', 'Eth0-1_Out_Octet': '1881115', 'Eth0-1_Out_uPackets': '16998'}
{'Time': '2022-11-15T12:17:01.368654', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5799019', 'Eth0-1_In_uPackets': '16653', 'Eth0-1_Out_Octet': '1881988', 'Eth0-1_Out_uPackets': '17010'}
{'Time': '2022-11-15T12:18:01.258817', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5823737', 'Eth0-1_In_uPackets': '16659', 'Eth0-1_Out_Octet': '1882860', 'Eth0-1_Out_uPackets': '17022'}
{'Time': '2022-11-15T12:19:02.145734', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5888100', 'Eth0-1_In_uPackets': '16669', 'Eth0-1_Out_Octet': '1883733', 'Eth0-1_Out_uPackets': '17034'}
{'Time': '2022-11-15T12:20:02.059952', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5950109', 'Eth0-1_In_uPackets': '16675', 'Eth0-1_Out_Octet': '1884608', 'Eth0-1_Out_uPackets': '17046'}
{'Time': '2022-11-15T12:21:02.065490', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '5989443', 'Eth0-1_In_uPackets': '16685', 'Eth0-1_Out_Octet': '1885483', 'Eth0-1_Out_uPackets': '17058'}
{'Time': '2022-11-15T12:22:02.010423', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6029264', 'Eth0-1_In_uPackets': '16695', 'Eth0-1_Out_Octet': '1886355', 'Eth0-1_Out_uPackets': '17070'}
{'Time': '2022-11-15T12:23:01.899576', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6057043', 'Eth0-1_In_uPackets': '16705', 'Eth0-1_Out_Octet': '1887228', 'Eth0-1_Out_uPackets': '17082'}
{'Time': '2022-11-15T12:24:01.843243', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6116611', 'Eth0-1_In_uPackets': '16711', 'Eth0-1_Out_Octet': '1888100', 'Eth0-1_Out_uPackets': '17094'}
{'Time': '2022-11-15T12:25:01.845828', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6145871', 'Eth0-1_In_uPackets': '16721', 'Eth0-1_Out_Octet': '1888973', 'Eth0-1_Out_uPackets': '17106'}
{'Time': '2022-11-15T12:26:01.797570', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6205966', 'Eth0-1_In_uPackets': '16727', 'Eth0-1_Out_Octet': '1889848', 'Eth0-1_Out_uPackets': '17118'}
{'Time': '2022-11-15T12:27:01.677925', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6243745', 'Eth0-1_In_uPackets': '16733', 'Eth0-1_Out_Octet': '1890720', 'Eth0-1_Out_uPackets': '17130'}
{'Time': '2022-11-15T12:28:01.577790', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6281772', 'Eth0-1_In_uPackets': '16741', 'Eth0-1_Out_Octet': '1891713', 'Eth0-1_Out_uPackets': '17144'}
{'Time': '2022-11-15T12:29:01.474684', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6345226', 'Eth0-1_In_uPackets': '16751', 'Eth0-1_Out_Octet': '1892588', 'Eth0-1_Out_uPackets': '17156'}
{'Time': '2022-11-15T12:30:01.344419', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6372224', 'Eth0-1_In_uPackets': '16757', 'Eth0-1_Out_Octet': '1893460', 'Eth0-1_Out_uPackets': '17168'}
{'Time': '2022-11-15T12:31:02.251482', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6399193', 'Eth0-1_In_uPackets': '16767', 'Eth0-1_Out_Octet': '1894330', 'Eth0-1_Out_uPackets': '17180'}
{'Time': '2022-11-15T12:32:02.164901', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6457504', 'Eth0-1_In_uPackets': '16779', 'Eth0-1_Out_Octet': '1895320', 'Eth0-1_Out_uPackets': '17194'}
{'Time': '2022-11-15T12:33:02.093948', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6493115', 'Eth0-1_In_uPackets': '16789', 'Eth0-1_Out_Octet': '1896193', 'Eth0-1_Out_uPackets': '17206'}
{'Time': '2022-11-15T12:34:02.032836', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6562523', 'Eth0-1_In_uPackets': '16795', 'Eth0-1_Out_Octet': '1897065', 'Eth0-1_Out_uPackets': '17218'}
{'Time': '2022-11-15T12:35:01.980232', 'hostname': 'IOS_R_1.TEST', 'Eth0-1_In_Octet': '6589942', 'Eth0-1_In_uPackets': '16805', 'Eth0-1_Out_Octet': '1897938', 'Eth0-1_Out_uPackets': '17230'}
